Id,Start time,Completion time,Email,Name,Participant ID:,What scenario did you complete?,I enjoyed engaging in my session very much.,"After my session, I feel motivated to reach my goals.",I put a lot of effort into my session.,Engaging in my session was enjoyable.,I believe that the method I used to track my workout could be of value to my exercise goals.,I believe I am pretty good at working out.,I tried very hard during my exercises.,I found my session to be interesting.,I engaged in my workouts because I wanted to.,I had fun during my session.,I felt very tense during my session.,I experienced a lot of pressure during my session.
4,4/5/2025 19:01,4/5/2025 19:02,anonymous,,1,Baseline,7: Very True,7: Very True,6,6,5,5,7: Very True,6,6,7: Very True,5,4
7,4/8/2025 15:16,4/8/2025 15:23,anonymous,,1,Cooperative,7: Very True,7: Very True,7: Very True,7: Very True,7: Very True,6,7: Very True,7: Very True,7: Very True,7: Very True,5,4
16,4/11/2025 13:08,4/11/2025 14:12,anonymous,,1,Competitive,6,5,6,6,6,5,6,6,7: Very True,7: Very True,5,6
13,4/9/2025 15:51,4/9/2025 16:23,anonymous,,10,Baseline,4,3,6,4,6,5,6,5,6,5,3,1: Not True
19,4/11/2025 16:15,4/11/2025 16:23,anonymous,,10,Competitive,6,6,7: Very True,6,6,5,7: Very True,6,6,6,3,1: Not True
18,4/11/2025 14:55,4/11/2025 15:01,anonymous,,11,Baseline,6,7: Very True,6,5,6,6,6,5,6,6,3,5
21,4/12/2025 13:36,4/12/2025 13:45,anonymous,,11,Cooperative,6,6,7: Very True,7: Very True,6,6,6,7: Very True,7: Very True,7: Very True,4,5
24,4/12/2025 16:22,4/12/2025 17:05,anonymous,,11,Competitive,7: Very True,7: Very True,7: Very True,6,6,7: Very True,7: Very True,7: Very True,7: Very True,7: Very True,4,5
23,4/12/2025 16:13,4/12/2025 16:13,anonymous,,12,Baseline,5,6,7: Very True,6,7: Very True,4,7: Very True,6,6,6,5,6
29,4/16/2025 17:24,4/16/2025 17:30,anonymous,,13,Baseline,5,5,5,5,5,3,4,5,5,5,4,2
30,4/21/2025 12:51,4/21/2025 12:52,anonymous,,13,Competitive,6,6,6,6,6,6,6,6,6,6,6,4
1,4/2/2025 19:20,4/2/2025 19:42,anonymous,,2,,7: Very True,7: Very True,6,7: Very True,7: Very True,5,6,5,7: Very True,7: Very True,3,3
8,4/8/2025 15:36,4/8/2025 15:43,anonymous,,2,Cooperative,7: Very True,7: Very True,7: Very True,7: Very True,6,5,6,5,6,6,3,3
14,4/11/2025 12:36,4/11/2025 12:42,anonymous,,2,Competitive,7: Very True,7: Very True,7: Very True,7: Very True,7: Very True,6,7: Very True,7: Very True,7: Very True,7: Very True,4,5
2,4/5/2025 16:36,4/5/2025 16:44,anonymous,,3,Baseline,4,2,7: Very True,5,5,3,6,5,7: Very True,3,6,4
3,4/5/2025 16:47,4/5/2025 17:11,anonymous,,4,Baseline,6,5,5,5,6,5,4,6,6,6,4,4
5,4/5/2025 20:32,4/5/2025 20:39,anonymous,,5,Baseline,6,4,6,5,5,6,5,6,5,4,1: Not True,1: Not True
6,4/7/2025 16:19,4/7/2025 16:42,anonymous,,5,Cooperative,5,5,6,6,6,5,5,5,6,6,2,1: Not True
22,4/12/2025 13:46,4/12/2025 14:53,anonymous,,5,Competitive,6,7: Very True,7: Very True,6,6,6,7: Very True,6,6,5,2,1: Not True
9,4/8/2025 16:09,4/8/2025 16:15,anonymous,,6,Baseline,7: Very True,6,6,7: Very True,7: Very True,5,7: Very True,7: Very True,7: Very True,7: Very True,5,5
15,4/11/2025 12:42,4/11/2025 13:08,anonymous,,6,Competitive,7: Very True,5,5,7: Very True,7: Very True,6,5,7: Very True,7: Very True,7: Very True,5,3
20,4/11/2025 16:25,4/11/2025 16:30,anonymous,,6,Cooperative,7: Very True,6,5,7: Very True,6,6,6,7: Very True,7: Very True,7: Very True,2,2
10,4/8/2025 16:15,4/8/2025 16:40,anonymous,,7,Baseline,7: Very True,7: Very True,7: Very True,7: Very True,7: Very True,7: Very True,7: Very True,6,7: Very True,7: Very True,4,4
17,4/11/2025 14:39,4/11/2025 14:40,anonymous,,7,Competitive,7: Very True,7: Very True,7: Very True,7: Very True,6,7: Very True,7: Very True,7: Very True,7: Very True,7: Very True,4,5
11,4/9/2025 14:59,4/9/2025 15:11,anonymous,,8,Baseline,7: Very True,7: Very True,6,7: Very True,7: Very True,6,6,7: Very True,7: Very True,7: Very True,4,1: Not True
26,4/15/2025 10:26,4/15/2025 10:28,anonymous,,8,Cooperative,7: Very True,7: Very True,3,7: Very True,7: Very True,6,3,7: Very True,7: Very True,7: Very True,1: Not True,1: Not True
28,4/16/2025 15:31,4/16/2025 15:33,anonymous,,8,Competitive,7: Very True,7: Very True,7: Very True,7: Very True,7: Very True,6,6,7: Very True,7: Very True,7: Very True,2,1: Not True
12,4/9/2025 15:16,4/9/2025 15:43,anonymous,,9,Baseline,5,3,4,4,6,4,5,5,6,7: Very True,4,2
25,4/14/2025 11:46,4/14/2025 11:52,anonymous,,9,Cooperative,6,6,7: Very True,6,5,4,6,6,7: Very True,6,7: Very True,4
27,4/15/2025 12:43,4/15/2025 12:46,anonymous,,9,Competitive,6,7: Very True,7: Very True,7: Very True,7: Very True,5,7: Very True,7: Very True,7: Very True,7: Very True,7: Very True,4
